
Most frequent decisions by invserse order
RANK | DECISION ID | RELATOR | VIRTUAL | NUMBER OF OCCURANCES | TIMES REMOVED
Most frequent decisions by invserse order
RANK | DECISION ID | RELATOR | VIRTUAL | NUMBER OF OCCURANCES | TIMES REMOVED
 1   | MS 23061  | SEPÚLVEDA PERTENCE  | S | 10 | 0
 2   | RE 453740 | GILMAR MENDES       | N | 10 | 0
 3   | ADI 3105  | ELLEN GRACIE        | N | 10 | 0
 4   | RE 376846 | CARLOS VELLOSO      | N | 10 | 0
 5   | RE 279872 | SEPÚLVEDA PERTENCE  | N | 9 | 1
 6   | RE 272872 | ILMAR GALVÃO        | N | 9 | 1
 7   | RE 571572 | GILMAR MENDES       | N | 9 | 1
 8   | ADI 678   | CARLOS VELLOSO      | N | 9 | 1
 9   | RE 557542 | RICARDO LEWANDOWSKI | S | 9 | 0
 10   | IF 2953   | MARCO AURÉLIO       | S | 9 | 0
 11   | ADI 2874  | MARCO AURÉLIO       | N | 9 | 0
 12   | ADI 743   | ELLEN GRACIE        | N | 9 | 0
 13   | RE 418918 | ELLEN GRACIE        | N | 9 | 0
 14   | MI 529    | CARLOS VELLOSO      | S | 9 | 0
 15   | RE 317903 | SEPÚLVEDA PERTENCE  | N | 8 | 2
 16   | RE 298694 | SEPÚLVEDA PERTENCE  | N | 8 | 2
 17   | MS 30822  | RICARDO LEWANDOWSKI | N | 8 | 2
 18   | ADI 1399  | MAURÍCIO CORRÊA     | N | 8 | 2
 19   | ADI 1654  | MAURÍCIO CORRÊA     | N | 8 | 2
 20   | RE 258980 | ILMAR GALVÃO        | N | 8 | 2
 21   | ADI 1472  | ILMAR GALVÃO        | N | 8 | 2
 22   | ADI 1571  | GILMAR MENDES       | N | 8 | 2
 23   | RE 415454 | GILMAR MENDES       | N | 8 | 2
 24   | RCL 5758  | CÁRMEN LÚCIA        | N | 8 | 2
 25   | RE 396266 | CARLOS VELLOSO      | N | 8 | 2
 26   | ADI 508   | SYDNEY SANCHES      | N | 8 | 1
 27   | RE 418416 | SEPÚLVEDA PERTENCE  | N | 8 | 1
 28   | HC 81611  | SEPÚLVEDA PERTENCE  | N | 8 | 1
 29   | HC 83168  | SEPÚLVEDA PERTENCE  | N | 8 | 1
 30   | ADI 305   | MAURÍCIO CORRÊA     | N | 8 | 1
 31   | RE 206048 | MARCO AURÉLIO       | N | 8 | 1
 32   | ADI 347   | JOAQUIM BARBOSA     | N | 8 | 1
 33   | RE 325822 | ILMAR GALVÃO        | N | 8 | 1
 34   | ADI 1991  | EROS GRAU           | N | 8 | 1
 35   | ADI 3533  | EROS GRAU           | N | 8 | 1
 36   | ADI 2615  | EROS GRAU           | N | 8 | 1
 37   | ADI 703   | ELLEN GRACIE        | N | 8 | 1
 38   | ADI 699   | SYDNEY SANCHES      | S | 8 | 0
 39   | ADI 2448  | SYDNEY SANCHES      | N | 8 | 0
 40   | ADI 2690  | GILMAR MENDES       | N | 8 | 0
 41   | RE 416827 | GILMAR MENDES       | S | 8 | 0
 42   | ADI 1595  | EROS GRAU           | S | 8 | 0
 43   | ADI 990   | SYDNEY SANCHES      | N | 7 | 3
 44   | HC 81260  | SEPÚLVEDA PERTENCE  | N | 7 | 3
 45   | RE 298695 | SEPÚLVEDA PERTENCE  | N | 7 | 3
 46   | ADI 1040  | NÉRI DA SILVEIRA    | N | 7 | 3
 47   | RHC 81796 | NÉRI DA SILVEIRA    | N | 7 | 3
 48   | HC 81162  | MOREIRA ALVES       | N | 7 | 3
 49   | ADI 2602  | JOAQUIM BARBOSA     | N | 7 | 3
 50   | RE 346084 | ILMAR GALVÃO        | N | 7 | 3
 51   | RE 377457 | GILMAR MENDES       | N | 7 | 3
 52   | ADI 3322  | GILMAR MENDES       | N | 7 | 3
 53   | ADI 1141  | ELLEN GRACIE        | N | 7 | 3
 54   | ADC 4     | SYDNEY SANCHES      | N | 7 | 2
 55   | MS 24958  | MARCO AURÉLIO       | N | 7 | 2
 56   | RE 458110 | MARCO AURÉLIO       | N | 7 | 2
 57   | HC 82959  | MARCO AURÉLIO       | N | 7 | 2
 58   | HC 80837  | CELSO DE MELLO      | N | 7 | 2
 59   | MS 24784  | CARLOS VELLOSO      | N | 7 | 2
 60   | RE 484770 | SEPÚLVEDA PERTENCE  | N | 7 | 1
 61   | HC 81231  | NÉRI DA SILVEIRA    | N | 7 | 1
 62   | HC 80721  | NÉRI DA SILVEIRA    | N | 7 | 1
 63   | ADI 3305  | EROS GRAU           | N | 7 | 1
 64   | ADI 1949  | DIAS TOFFOLI        | N | 7 | 1
 65   | HC 81261  | SEPÚLVEDA PERTENCE  | S | 7 | 0
 66   | MS 24847  | CELSO DE MELLO      | S | 7 | 0
 67   | MS 24845  | CELSO DE MELLO      | S | 7 | 0
 68   | MS 24848  | CELSO DE MELLO      | S | 7 | 0
 69   | HC 81939  | SEPÚLVEDA PERTENCE  | N | 6 | 4
 70   | MS 24138  | GILMAR MENDES       | N | 6 | 4
 71   | ADI 1893  | CARLOS VELLOSO      | N | 6 | 4
 72   | ADI 1918  | MAURÍCIO CORRÊA     | N | 6 | 3
 73   | MI 721    | MARCO AURÉLIO       | N | 6 | 3
 74   | ADI 1623  | JOAQUIM BARBOSA     | N | 6 | 3
 75   | RE 141190 | ILMAR GALVÃO        | N | 6 | 3
 76   | ADI 2078  | GILMAR MENDES       | N | 6 | 3
 77   | ADI 1646  | GILMAR MENDES       | N | 6 | 3
 78   | ADI 1628  | EROS GRAU           | N | 6 | 3
 79   | ADI 1980  | CEZAR PELUSO        | N | 6 | 3
 80   | RE 237718 | SEPÚLVEDA PERTENCE  | N | 6 | 2
 81   | RE 558258 | RICARDO LEWANDOWSKI | N | 6 | 2
 82   | ADI 1903  | RICARDO LEWANDOWSKI | N | 6 | 2
 83   | ADI 2682  | GILMAR MENDES       | N | 6 | 2
 84   | ADI 559   | EROS GRAU           | N | 6 | 2
 85   | ADI 2655  | ELLEN GRACIE        | N | 6 | 2
 86   | ADI 1921  | CARLOS VELLOSO      | N | 6 | 2
 87   | EXT 803   | NELSON JOBIM        | N | 6 | 1
 88   | ADI 3826  | EROS GRAU           | N | 6 | 1
 89   | ADI 1007  | EROS GRAU           | N | 6 | 1
 90   | ADI 2158  | DIAS TOFFOLI        | N | 6 | 1
 91   | ADI 1879  | JOAQUIM BARBOSA     | N | 6 | 0
 92   | RE 290079 | ILMAR GALVÃO        | N | 6 | 0
 93   | RE 423768 | MARCO AURÉLIO       | N | 5 | 5
 94   | ADI 544   | CARLOS VELLOSO      | N | 5 | 4
 95   | ADI 554   | EROS GRAU           | N | 5 | 3
 96   | ADI 3128  | ELLEN GRACIE        | N | 5 | 3
 97   | MS 24849  | CELSO DE MELLO      | N | 5 | 3
